simulation_id,session_index,time,action,state,reward
aaaa,0,1,A_independent,s1,2
aaaa,0,2,A_independent,s1,2
aaaa,0,3,A_independent,s1,2
aaaa,0,4,A_independent,s1,2
aaaa,0,5,A_independent,s1,2
aaaa,0,6,A_independent,s1,2
aaaa,0,7,A_independent,s1,2
aaaa,0,8,A_independent,s1,2
aaaa,0,9,A_independent,s1,2
aaaa,0,10,A_independent,s1,2
aaaa,1,1,A_independent,s1,2
aaaa,1,2,A_independent,s1,2
aaaa,1,3,A_independent,s1,2
aaaa,1,4,A_independent,s1,2
aaaa,1,5,A_independent,s1,2
aaaa,1,6,A_independent,s1,2
aaaa,1,7,A_independent,s1,2
aaaa,1,8,A_independent,s1,2
aaaa,1,9,A_independent,s1,2
aaaa,1,10,A_independent,s1,2
aaaa,2,1,A_independent,s1,2
aaaa,2,2,A_independent,s1,2
aaaa,2,3,A_independent,s1,2
aaaa,2,4,A_independent,s1,2
aaaa,2,5,A_independent,s1,2
aaaa,2,6,A_independent,s1,2
aaaa,2,7,A_independent,s1,2
aaaa,2,8,A_independent,s1,2
aaaa,2,9,A_independent,s1,2
aaaa,2,10,A_independent,s1,2
aaaa,3,1,A_independent,s1,2
aaaa,3,2,A_independent,s1,2
aaaa,3,3,A_independent,s1,2
aaaa,3,4,A_independent,s1,2
aaaa,3,5,A_independent,s1,2
aaaa,3,6,A_independent,s1,2
aaaa,3,7,A_independent,s1,2
aaaa,3,8,A_independent,s1,2
aaaa,3,9,A_independent,s1,2
aaaa,3,10,A_independent,s1,2
aaaa,4,1,A_independent,s1,2
aaaa,4,2,A_independent,s1,2
aaaa,4,3,A_independent,s1,2
aaaa,4,4,A_independent,s1,2
aaaa,4,5,A_independent,s1,2
aaaa,4,6,A_independent,s1,2
aaaa,4,7,A_independent,s1,2
aaaa,4,8,A_independent,s1,2
aaaa,4,9,A_independent,s1,2
aaaa,4,10,A_independent,s1,2
aaaa,5,1,A_independent,s1,2
aaaa,5,2,A_independent,s1,2
aaaa,5,3,A_independent,s1,2
aaaa,5,4,A_independent,s1,2
aaaa,5,5,A_independent,s1,2
aaaa,5,6,A_independent,s1,2
aaaa,5,7,A_independent,s1,2
aaaa,5,8,A_independent,s1,2
aaaa,5,9,A_independent,s1,2
aaaa,5,10,A_independent,s1,2
aaaa,6,1,A_independent,s1,2
aaaa,6,2,A_independent,s1,2
aaaa,6,3,A_independent,s1,2
aaaa,6,4,A_independent,s1,2
aaaa,6,5,A_independent,s1,2
aaaa,6,6,A_independent,s1,2
aaaa,6,7,A_independent,s1,2
aaaa,6,8,A_independent,s1,2
aaaa,6,9,A_independent,s1,2
aaaa,6,10,A_independent,s1,2
aaaa,7,1,A_independent,s1,2
aaaa,7,2,A_independent,s1,2
aaaa,7,3,A_independent,s1,2
aaaa,7,4,A_independent,s1,2
aaaa,7,5,A_independent,s1,2
aaaa,7,6,A_independent,s1,2
aaaa,7,7,A_independent,s1,2
aaaa,7,8,A_independent,s1,2
aaaa,7,9,A_independent,s1,2
aaaa,7,10,A_independent,s1,2
aaaa,8,1,A_independent,s1,2
aaaa,8,2,A_independent,s1,2
aaaa,8,3,A_independent,s1,2
aaaa,8,4,A_independent,s1,2
aaaa,8,5,A_independent,s1,2
aaaa,8,6,A_independent,s1,2
aaaa,8,7,A_independent,s1,2
aaaa,8,8,A_independent,s1,2
aaaa,8,9,A_independent,s1,2
aaaa,8,10,A_independent,s1,2
aaaa,9,1,A_independent,s1,2
aaaa,9,2,A_independent,s1,2
aaaa,9,3,A_independent,s1,2
aaaa,9,4,A_independent,s1,2
aaaa,9,5,A_independent,s1,2
aaaa,9,6,A_independent,s1,2
aaaa,9,7,A_independent,s1,2
aaaa,9,8,A_independent,s1,2
aaaa,9,9,A_independent,s1,2
aaaa,9,10,A_independent,s1,2
a66,0,1,A_dependent,s2,2
a66,0,2,A_dependent,s2,2
a66,0,3,A_dependent,s3,3
a66,0,4,A_dependent,s3,3
a66,0,5,A_dependent,s3,3
a66,0,6,A_dependent,s3,3
a66,0,7,A_dependent,s3,3
a66,0,8,A_dependent,s3,3
a66,0,9,A_dependent,s3,3
a66,0,10,A_dependent,s3,3
a66,1,1,A_dependent,s2,2
a66,1,2,A_dependent,s3,3
a66,1,3,A_dependent,s3,3
a66,1,4,A_dependent,s3,3
a66,1,5,A_dependent,s3,3
a66,1,6,A_dependent,s3,3
a66,1,7,A_dependent,s3,3
a66,1,8,A_dependent,s3,3
a66,1,9,A_dependent,s3,3
a66,1,10,A_dependent,s3,3
a66,2,1,A_dependent,s2,2
a66,2,2,A_dependent,s3,3
a66,2,3,A_dependent,s3,3
a66,2,4,A_dependent,s3,3
a66,2,5,A_dependent,s3,3
a66,2,6,A_dependent,s3,3
a66,2,7,A_dependent,s3,3
a66,2,8,A_dependent,s3,3
a66,2,9,A_dependent,s3,3
a66,2,10,A_dependent,s3,3
av5,0,1,A_dependent,s3,3
av5,0,2,A_dependent,s3,3
av5,0,3,A_dependent,s3,3
av5,0,4,A_dependent,s3,3
av5,0,5,A_dependent,s3,3
av5,0,6,A_dependent,s3,3
av5,0,7,A_dependent,s3,3
av5,0,8,A_dependent,s3,3
av5,0,9,A_dependent,s3,3
av5,0,10,A_dependent,s3,3
av5,1,1,A_dependent,s3,3
av5,1,2,A_dependent,s3,3
av5,1,3,A_dependent,s3,3
av5,1,4,A_dependent,s3,3
av5,1,5,A_dependent,s3,3
av5,1,6,A_dependent,s3,3
av5,1,7,A_dependent,s3,3
av5,1,8,A_dependent,s3,3
av5,1,9,A_dependent,s3,3
av5,1,10,A_dependent,s3,3
av5,2,1,A_dependent,s3,3
av5,2,2,A_dependent,s3,3
av5,2,3,A_dependent,s3,3
av5,2,4,A_dependent,s3,3
av5,2,5,A_dependent,s3,3
av5,2,6,A_dependent,s3,3
av5,2,7,A_dependent,s3,3
av5,2,8,A_dependent,s3,3
av5,2,9,A_dependent,s3,3
av5,2,10,A_dependent,s3,3
av5,3,1,A_dependent,s3,3
av5,3,2,A_dependent,s3,3
av5,3,3,A_dependent,s3,3
av5,3,4,A_dependent,s3,3
av5,3,5,A_dependent,s3,3
av5,3,6,A_dependent,s3,3
av5,3,7,A_dependent,s3,3
av5,3,8,A_dependent,s3,3
av5,3,9,A_dependent,s3,3
av5,3,10,A_dependent,s3,3
av5,4,1,A_dependent,s3,3
av5,4,2,A_dependent,s3,3
av5,4,3,A_dependent,s3,3
av5,4,4,A_dependent,s3,3
av5,4,5,A_dependent,s3,3
av5,4,6,A_dependent,s3,3
av5,4,7,A_dependent,s3,3
av5,4,8,A_dependent,s3,3
av5,4,9,A_dependent,s3,3
av5,4,10,A_dependent,s3,3
av5,5,1,A_dependent,s3,3
av5,5,2,A_dependent,s3,3
av5,5,3,A_dependent,s3,3
av5,5,4,A_dependent,s3,3
av5,5,5,A_dependent,s3,3
av5,5,6,A_dependent,s3,3
av5,5,7,A_dependent,s3,3
av5,5,8,A_dependent,s3,3
av5,5,9,A_dependent,s3,3
av5,5,10,A_dependent,s3,3
av5,6,1,A_dependent,s3,3
av5,6,2,A_dependent,s3,3
av5,6,3,A_dependent,s3,3
av5,6,4,A_dependent,s3,3
av5,6,5,A_dependent,s3,3
av5,6,6,A_dependent,s3,3
av5,6,7,A_dependent,s3,3
av5,6,8,A_dependent,s3,3
av5,6,9,A_dependent,s3,3
av5,6,10,A_dependent,s3,3
av5,7,1,A_dependent,s3,3
av5,7,2,A_dependent,s3,3
av5,7,3,A_dependent,s3,3
av5,7,4,A_dependent,s3,3
av5,7,5,A_dependent,s3,3
av5,7,6,A_dependent,s3,3
av5,7,7,A_dependent,s3,3
av5,7,8,A_dependent,s3,3
av5,7,9,A_dependent,s3,3
av5,7,10,A_dependent,s3,3
av5,8,1,A_dependent,s3,3
av5,8,2,A_dependent,s3,3
av5,8,3,A_dependent,s3,3
av5,8,4,A_dependent,s3,3
av5,8,5,A_dependent,s3,3
av5,8,6,A_dependent,s3,3
av5,8,7,A_dependent,s3,3
av5,8,8,A_dependent,s3,3
av5,8,9,A_dependent,s3,3
av5,8,10,A_dependent,s3,3
av5,9,1,A_dependent,s3,3
av5,9,2,A_dependent,s3,3
av5,9,3,A_dependent,s3,3
av5,9,4,A_dependent,s3,3
av5,9,5,A_dependent,s3,3
av5,9,6,A_dependent,s3,3
av5,9,7,A_dependent,s3,3
av5,9,8,A_dependent,s3,3
av5,9,9,A_dependent,s3,3
av5,9,10,A_dependent,s3,3
